City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,ayr,76,GB,1524097200,67,55.46,-4.63,59.0,10.29
138,axim,36,GH,1524099520,97,4.87,-2.24,82.93,13.65
139,dingzhou,0,CN,1524096000,93,38.51,115.0,64.4,2.24
140,sibu,75,MY,1524096000,94,2.29,111.83,78.8,3.36
141,half moon bay,40,US,1524095760,41,37.46,-122.43,62.6,6.93
142,banjar,0,ID,1524099521,94,-7.37,108.54,74.51,2.91
143,ihosy,36,MG,1524099521,92,-22.4,46.13,56.06,2.46
144,san policarpo,80,PH,1524099521,98,12.18,125.51,81.58,6.82
145,boguchany,0,RU,1524099521,53,58.38,97.46,19.39,4.7
146,ostrovnoy,80,RU,1524099522,93,68.05,39.51,27.04,10.96
147,talnakh,56,RU,1524099522,83,69.49,88.39,5.21,19.69
148,longyearbyen,20,NO,1524095400,78,78.22,15.63,8.6,5.82
149,lalmohan,0,BD,1524099522,85,22.34,90.74,82.07,9.4
150,kyaikto,12,MM,1524099522,84,17.31,97.01,78.11,0.89
151,leningradskiy,12,RU,1524099523,100,69.38,178.42,16.78,12.75
152,jumla,0,NP,1524099523,81,29.28,82.18,29.87,2.46
153,marzuq,12,YE,1524099523,90,14.4,46.47,59.66,2.24
154,terney,0,RU,1524099523,85,45.05,136.61,46.66,1.57
155,sinnamary,76,GF,1524099523,97,5.38,-52.96,79.82,9.06
156,bondoukou,88,CI,1524099524,98,8.04,-2.8,72.58,6.71
157,dikson,68,RU,1524099266,90,73.51,80.55,3.86,24.49
158,toyooka,0,JP,1524096000,59,35.55,134.82,60.8,4.7
159,luderitz,0,NA,1524099524,94,-26.65,15.16,57.1,11.52
160,tabalosos,20,PE,1524096000,78,-6.39,-76.63,78.8,1.23
161,provideniya,40,RU,1524097800,64,64.42,-173.23,35.6,15.66
162,sibolga,92,ID,1524099525,100,1.74,98.78,68.53,1.57
163,saint-philippe,90,CA,1524098580,86,45.36,-73.48,42.8,13.87
164,azul,68,AR,1524099525,96,-36.78,-59.86,66.28,7.83
165,arman,0,RU,1524097800,46,59.7,150.17,30.2,8.95
166,aksay,48,RU,1524099525,77,47.27,39.86,55.39,7.83
167,mahibadhoo,92,MV,1524099526,100,3.78,72.97,80.54,10.4
168,jinchang,8,CN,1524099526,45,38.52,102.19,49.9,10.74
169,amapa,20,HN,1524096000,78,15.09,-87.97,82.4,16.11
170,cherskiy,0,RU,1524099526,75,68.75,161.3,25.87,2.57
171,kaitangata,64,NZ,1524099526,63,-46.28,169.85,57.37,26.51
172,pangnirtung,8,CA,1524099527,85,66.15,-65.72,10.79,3.91
173,pochutla,75,MX,1524095100,100,15.74,-96.47,86.0,6.93
174,siderno,75,IT,1524096120,93,38.28,16.3,60.8,1.12
175,khovu-aksy,64,RU,1524099527,83,51.13,93.72,25.37,2.8
176,alekseyevsk,20,RU,1524099527,58,57.84,108.35,26.14,5.7
177,tezu,44,IN,1524099528,86,27.93,96.16,60.07,1.12
178,alice springs,0,AU,1524096000,24,-23.7,133.88,80.6,8.05
179,alyangula,8,AU,1524099528,100,-13.85,136.42,84.41,15.55
180,ribeira grande,32,PT,1524099529,100,38.52,-28.7,59.98,15.77
181,arraial do cabo,0,BR,1524096000,100,-22.97,-42.02,66.2,3.36
182,minjur,40,IN,1524097800,89,13.28,80.26,84.2,6.93
183,menongue,0,AO,1524099529,73,-14.66,17.68,62.41,3.36
184,torbay,90,CA,1524096000,93,47.66,-52.73,39.2,25.28
185,paceco,40,IT,1524095700,82,37.98,12.56,60.8,2.24
186,minsk,75,BY,1524097500,81,53.9,27.56,50.0,17.9
187,sao filipe,0,CV,1524099530,98,14.9,-24.5,70.78,14.88
188,srivardhan,0,IN,1524099530,96,18.03,73.02,74.11,3.91
189,ust-kuyga,8,RU,1524099530,91,70.0,135.55,25.69,4.14
190,namibe,8,AO,1524099530,98,-15.19,12.15,78.47,5.37
191,bilibino,20,RU,1524099531,72,68.06,166.44,33.47,3.13
192,iguai,92,BR,1524099531,89,-14.76,-40.09,69.25,8.72
193,takoradi,44,GH,1524099531,99,4.89,-1.75,81.89,10.4
194,jefferson city,90,US,1524098100,52,38.58,-92.17,46.4,10.29
195,thunder bay,20,CA,1524096000,28,48.41,-89.26,44.6,10.29
196,tual,0,ID,1524099532,100,-5.67,132.75,84.01,2.35
197,meulaboh,80,ID,1524099532,100,4.14,96.13,77.66,1.9
198,siguiri,0,GN,1524099532,62,11.42,-9.17,76.31,2.91
199,aklavik,5,CA,1524096000,64,68.22,-135.01,-2.21,6.93
200,ahipara,80,NZ,1524099533,80,-35.17,173.16,64.03,6.6
201,coahuayana,8,MX,1524099533,23,18.62,-100.35,89.41,2.91
202,deputatskiy,56,RU,1524099536,94,69.3,139.9,23.08,3.91
203,tazmalt,40,DZ,1524096000,93,36.39,4.4,53.6,5.82
204,sitka,0,US,1524099537,19,37.17,-99.65,65.11,16.33
205,damietta,0,EG,1524096000,88,31.42,31.81,68.0,14.99
206,tromso,90,NO,1524097200,86,69.65,18.96,37.4,3.36
207,partizanskoye,92,UA,1524099537,90,44.83,34.08,49.36,2.8
208,strezhevoy,0,RU,1524097800,62,60.73,77.6,23.0,13.42
209,kitimat,75,CA,1524096000,57,54.02,-128.69,48.2,23.04
210,port lincoln,32,AU,1524099538,76,-34.72,135.86,68.62,5.59
211,yar-sale,44,RU,1524099404,77,66.83,70.83,17.59,18.34
212,cayenne,40,GF,1524097800,88,4.94,-52.33,78.8,2.24
213,nakhon phanom,0,LA,1524099538,88,17.4,104.79,70.64,3.47
214,svetlogorsk,0,RU,1524097800,92,53.14,59.15,26.6,6.71
215,victoria,75,BN,1524097800,88,5.28,115.24,84.2,2.24
216,udachnyy,88,RU,1524099539,84,66.42,112.4,24.7,6.04
217,hasaki,20,JP,1524096000,72,35.73,140.83,60.8,5.82
218,eldorado,5,MX,1524094800,29,24.32,-107.36,89.6,13.87
219,camacha,40,PT,1524097800,88,33.08,-16.33,62.6,13.87
220,sirvintos,75,LT,1524097200,81,55.05,24.95,48.2,9.17
221,barranca,64,PE,1524099439,100,-10.75,-77.76,64.66,9.4
222,atar,0,MR,1524099540,32,20.52,-13.05,64.39,4.03
223,vardo,40,US,1524098100,50,39.62,-77.74,59.0,0.78
224,tiznit,0,MA,1524099541,66,29.7,-9.73,64.79,3.8
225,tecoanapa,5,MX,1524094800,70,16.99,-99.26,84.2,5.82
226,sechura,0,PE,1524099541,71,-5.56,-80.82,72.89,10.63
227,bajitpur,75,BD,1524097800,78,24.22,90.95,73.4,8.05
228,kundiawa,48,PG,1524099541,93,-6.02,144.97,64.79,1.01
229,nikita,24,UA,1524099542,89,44.52,34.24,53.09,10.07
230,emilio carranza,0,MX,1524099542,60,19.97,-96.61,80.59,4.92
231,sisimiut,76,GL,1524099542,83,66.94,-53.67,16.87,1.34
232,petropavlovka,20,RU,1524099367,74,50.61,105.32,37.3,12.19
233,outlook,0,CA,1524099543,93,51.48,-107.04,42.7,2.57
234,manzanillo,48,CU,1524099495,100,20.34,-77.12,77.62,10.4
235,shido,20,JP,1524096000,55,34.32,134.17,62.6,3.36
236,santa cruz cabralia,40,BR,1524099600,83,-16.28,-39.02,73.4,5.82
237,cockburn town,0,TC,1524099499,94,21.46,-71.14,80.09,17.0
238,rosita,68,NI,1524099544,71,13.92,-84.4,77.53,3.02
239,sumenep,12,ID,1524099364,99,-7.02,113.87,84.41,7.61
240,grootfontein,0,NA,1524099544,87,-19.56,18.1,55.57,2.68
241,porto walter,48,BR,1524099544,81,-8.27,-72.74,78.56,3.02
242,tortoli,0,IT,1524095700,71,39.93,9.66,57.2,16.11
243,palmerston,90,CA,1524096000,89,43.83,-80.85,32.0,6.93
244,tiksi,0,RU,1524099545,87,71.64,128.87,19.84,3.91
245,australind,100,AU,1524099545,90,-33.28,115.72,57.32,2.13
246,mackenzie,75,CA,1524096000,48,55.34,-123.09,44.6,5.82
247,lompoc,1,US,1524098100,54,34.64,-120.46,59.0,14.99
248,wahlern,0,CH,1524097200,93,46.83,7.35,57.2,1.12
249,usinsk,48,RU,1524099546,89,66.0,57.56,21.82,12.19
250,fortuna,0,ES,1524097800,76,38.18,-1.13,53.6,3.36
251,srednekolymsk,0,RU,1524099546,73,67.46,153.71,27.62,3.13
252,luba,44,PH,1524099547,87,17.32,120.7,77.53,3.69
253,porto novo,40,BR,1524096000,72,-23.68,-45.44,66.2,5.82
254,cururupu,36,BR,1524099547,96,-1.82,-44.87,76.18,4.59
255,pevek,32,RU,1524099547,100,69.7,170.27,29.38,2.24
256,belford roxo,0,BR,1524096000,69,-22.77,-43.4,73.4,8.05
257,chokurdakh,24,RU,1524099547,98,70.62,147.9,18.67,4.92
258,andahuaylas,92,PE,1524099548,83,-13.66,-73.39,48.46,1.9
259,qazigund,88,IN,1524099548,83,33.59,75.17,36.44,1.79
260,pimentel,76,BR,1524099548,98,-3.7,-45.5,73.39,2.01
261,yarkovo,0,RU,1524097800,73,54.81,82.6,24.8,4.47
262,vysokogornyy,88,RU,1524099549,93,50.1,139.13,38.06,3.13
263,luang prabang,90,LA,1524096000,94,19.89,102.14,69.8,2.24
264,salalah,20,OM,1524095400,57,17.01,54.1,80.6,3.36
265,bathsheba,20,BB,1524096000,78,13.22,-59.52,78.8,20.8
266,kruisfontein,48,ZA,1524099549,90,-34.0,24.73,61.01,15.99
267,jalu,24,LY,1524099550,30,29.03,21.55,74.06,10.96
268,batagay,44,RU,1524099550,72,67.65,134.64,30.19,4.36
269,hastings,0,NZ,1524099550,83,-39.64,176.84,64.3,14.65
270,skibbereen,90,IE,1524096000,100,51.55,-9.27,50.0,10.29
271,gordeyevka,92,RU,1524099550,84,52.96,31.97,49.31,21.47
272,chuy,12,UY,1524099551,92,-33.69,-53.46,69.56,5.14
273,mamurras,20,AL,1524097200,93,41.58,19.7,59.0,2.24
274,sohag,0,EG,1524099515,38,26.55,31.7,68.39,3.02
275,diapaga,0,BF,1524099551,52,12.07,1.79,74.02,7.94
276,ancud,100,CL,1524099551,98,-41.87,-73.83,57.01,8.28
277,dingle,24,PH,1524099552,81,11.0,122.67,80.32,10.85
278,suntar,8,RU,1524099552,62,62.16,117.65,32.21,11.41
279,kysyl-syr,76,RU,1524099552,82,63.9,122.77,30.64,7.38
280,launceston,90,AU,1524096000,81,-41.43,147.14,50.0,8.05
281,vikhorevka,12,RU,1524097800,49,56.12,101.17,24.8,6.71
282,nalut,12,LY,1524099553,85,31.86,10.98,55.16,10.74
283,maniitsoq,88,GL,1524099553,82,65.42,-52.9,27.71,7.38
284,lata,44,IN,1524099553,60,30.78,78.62,47.11,2.68
285,lebu,75,ET,1524096000,82,8.96,38.73,60.8,6.93
286,san patricio,0,PY,1524099554,74,-26.98,-56.83,76.22,3.91
287,lagoa,0,PT,1524097800,59,37.14,-8.45,62.6,10.29
288,klaksvik,100,FO,1524097200,100,62.23,-6.59,46.4,27.51
289,todos santos,5,MX,1524095100,69,23.45,-110.23,80.6,4.7
290,palmares do sul,0,BR,1524096000,83,-30.26,-50.51,69.8,6.93
291,redlands,20,US,1524095880,17,34.06,-117.19,84.2,13.87
292,souillac,0,FR,1524097800,67,45.6,-0.6,62.6,5.82
293,linares,0,CL,1524099327,88,-35.85,-71.6,44.68,1.79
294,sistranda,90,NO,1524095400,100,63.73,8.83,44.6,3.36
295,taoudenni,0,ML,1524099556,23,22.68,-3.98,63.26,6.93
296,englewood,1,US,1524098640,12,39.65,-104.99,57.2,6.93
297,havre-saint-pierre,90,CA,1524097860,100,50.23,-63.6,33.8,6.93
298,caravelas,92,BR,1524099556,100,-17.73,-39.27,78.97,18.34
299,saldanha,0,PT,1524099557,83,41.42,-6.55,48.46,0.11
300,nouadhibou,75,MR,1524096000,88,20.93,-17.03,66.2,11.41
301,dali,88,CN,1524099557,100,25.6,100.24,49.72,1.9
302,ponta delgada,20,PT,1524097800,71,37.73,-25.67,50.0,5.82
303,gamba,0,CN,1524099560,56,28.28,88.52,3.37,2.01
304,muros,0,ES,1524097800,71,42.77,-9.06,53.6,3.36
305,bud,88,NO,1524097200,93,62.91,6.91,46.4,6.93
306,lichinga,0,MZ,1524099561,92,-13.3,35.25,56.24,2.13
307,sao jose da coroa grande,88,BR,1524099561,93,-8.9,-35.15,77.21,6.04
308,sussex,75,CA,1524096000,75,45.72,-65.51,41.0,8.05
309,nimes,0,FR,1524097800,71,43.83,4.35,57.2,3.36
310,sobolevo,92,RU,1524099562,97,54.43,31.9,47.06,22.59
311,rampura,0,IN,1524099562,60,24.47,75.44,72.44,6.93
312,kamien pomorski,0,PL,1524097800,87,53.97,14.77,50.0,1.12
313,port blair,0,IN,1524099563,100,11.67,92.75,84.01,3.36
314,murgab,75,TM,1524096000,76,37.5,61.97,50.0,2.68
315,shingu,20,JP,1524096000,72,33.72,135.99,64.4,3.36
316,bath,0,GB,1524097260,63,51.38,-2.36,60.8,5.82
317,owerri,76,NG,1524099564,93,5.49,7.03,76.31,5.7
318,caucaia,0,BR,1524099600,83,-3.73,-38.66,80.6,6.93
319,jian,0,IN,1524099564,86,25.65,87.89,71.86,13.09
320,saint-junien,0,FR,1524097800,51,45.89,0.9,62.6,6.93
321,zhenhai,0,CN,1524096000,67,29.95,121.71,62.6,6.71
322,kabare,68,RW,1524099564,100,-1.65,29.38,58.31,3.02
323,saint-leu,90,RE,1524097800,83,-21.15,55.28,77.0,23.04
324,shimoda,20,JP,1524096000,68,34.7,138.93,64.4,6.93
325,catuday,12,PH,1524099565,100,16.29,119.81,80.41,7.38
326,morehead,1,US,1524095580,46,38.18,-83.43,73.4,10.29
327,ixtapa,5,MX,1524095400,65,20.71,-105.21,80.6,13.87
328,anshun,92,CN,1524099566,89,26.25,105.93,57.73,12.41
329,severo-yeniseyskiy,44,RU,1524099566,67,60.37,93.04,13.67,3.91
330,vao,92,EE,1524099566,98,59.1,26.19,42.74,7.83
331,tibacuy,75,CO,1524096000,71,4.35,-74.45,57.2,8.05
332,kirksville,88,US,1524098100,52,40.19,-92.58,37.4,12.75
333,balkhash,12,KZ,1524099567,93,46.84,74.98,43.24,15.55
334,mount isa,0,AU,1524096000,42,-20.73,139.49,84.2,11.41
335,houma,0,CN,1524099567,70,35.63,111.36,62.59,3.36
336,nueve de julio,0,AR,1524099567,72,-31.67,-68.39,61.06,3.02
337,komsomolskiy,68,RU,1524099568,85,67.55,63.78,14.98,20.24
338,itoman,75,JP,1524096000,60,26.12,127.67,73.4,8.05
339,coquimbo,40,CL,1524096000,87,-29.95,-71.34,55.4,3.36
340,kiunga,48,PG,1524099568,86,-6.12,141.3,81.13,2.91
341,barra do garcas,88,BR,1524099568,72,-15.89,-52.26,76.0,3.91
342,biri,44,NO,1524099569,82,60.95,10.61,29.96,2.13
343,el tigre,76,VE,1524099569,56,8.89,-64.25,83.11,16.11
344,vilhena,48,BR,1524099569,92,-12.74,-60.15,72.04,2.68
345,necochea,44,AR,1524099309,96,-38.55,-58.74,58.81,6.93
346,zhucheng,0,CN,1524096000,49,30.85,114.8,69.8,11.18
347,kavaratti,44,IN,1524099570,100,10.57,72.64,84.82,7.27
348,sobolivka,20,UA,1524099570,63,50.89,28.72,51.79,18.12
349,dudinka,88,RU,1524099570,85,69.41,86.18,10.61,23.04
350,chifeng,0,CN,1524099570,69,42.27,118.96,56.24,3.58
351,chichimila,80,MX,1524099570,58,20.62,-88.22,84.01,8.72
352,kulhudhuffushi,68,MV,1524099571,100,6.62,73.07,84.59,10.07
353,port hedland,0,AU,1524097800,27,-20.31,118.58,89.6,8.05
354,esperance,20,TT,1524096000,88,10.24,-61.45,77.0,5.82
355,lander,1,US,1524098100,23,42.83,-108.73,53.6,3.36
356,gladstone,44,AU,1524099571,89,-23.84,151.26,74.51,11.74
357,gat,0,SN,1524096000,77,14.69,-16.54,68.0,6.93
358,jinka,92,ET,1524099572,80,5.79,36.57,65.92,1.9
359,nome,90,US,1524096900,69,30.04,-94.42,75.2,6.93
360,berlevag,92,NO,1524099572,100,70.86,29.09,29.2,10.4
361,elko,75,US,1524095760,20,40.83,-115.76,55.4,6.93
362,tautira,40,PF,1524097800,66,-17.73,-149.15,86.0,2.24
363,del rio,1,US,1524095700,11,29.36,-100.9,89.6,9.17
364,oktyabrskoye,76,RU,1524099573,78,56.73,85.44,16.06,2.46
365,valleyview,0,CA,1524099573,75,55.07,-117.28,42.11,7.94
366,batsfjord,80,NO,1524099574,100,70.63,29.72,32.66,17.9
367,fukue,20,JP,1524096000,82,35.03,136.69,57.2,8.05
368,nador,0,MA,1524097800,87,35.17,-2.93,60.8,3.36
369,airai,32,TL,1524099574,63,-8.93,125.41,77.8,1.12
370,margate,75,AU,1524096000,66,-43.03,147.26,53.6,9.17
371,cachira,75,CO,1524096000,58,7.74,-73.05,82.4,13.87
372,cartagena,0,ES,1524099575,81,37.63,-1.0,46.84,2.8
373,vila velha,0,BR,1524099600,83,-3.71,-38.6,80.6,6.93
374,buhe,0,CN,1524099575,57,30.29,112.23,68.71,13.42
375,egvekinot,48,RU,1524099575,90,66.32,-179.17,28.75,4.14
